lhs_str,rhs_str,support,confidence,lift,lhs_len,rhs_len
"sub1_high, sub2_high",total_high,0.11706629055007052,0.7217391304347827,2.163691515764317,2,1
peak_high,total_high,0.2404795486600846,0.7209302325581395,2.1612665322778897,1,1
total_high,peak_high,0.2404795486600846,0.7209302325581395,2.1612665322778897,1,1
"is_weekend, sub3_high",peak_high,0.08180535966149506,0.7204968944099378,2.1599674339815897,2,1
"is_workday, total_low",peak_low,0.192524682651622,0.7203166226912929,2.1594269999497957,2,1
"sub2_med, sub3_low",peak_low,0.1071932299012694,0.7169811320754718,2.1494275798795326,2,1
"sub2_med, total_low",sub3_low,0.12834978843441466,0.7137254901960784,2.139667537205157,2,1
"peak_low, sub2_low",total_low,0.09449929478138223,0.7127659574468086,2.136790967567811,2,1
"sub1_high, sub3_high",peak_high,0.10578279266572638,0.7109004739336493,2.131198460968107,2,1
"night_low, sub1_low",peak_low,0.09026798307475317,0.7071823204419889,2.1200518612827493,2,1
"peak_high, total_high",sub2_high,0.16995768688293372,0.7067448680351907,2.1187404289088803,2,1
"night_low, total_low",peak_low,0.114950634696756,0.7056277056277056,2.1153913035519802,2,1
"is_workday, total_low",sub3_low,0.18829337094499296,0.7044854881266492,2.1119670658849654,2,1
"night_low, peak_low",sub3_low,0.0923836389280677,0.7005347593582888,2.100123232071995,2,1
"is_weekend, sub2_high",total_high,0.0923836389280677,0.7005347593582888,2.100123232071995,2,1
"sub2_low, total_low",sub3_low,0.08039492242595205,0.6993865030674846,2.0966808908027343,2,1
"night_high, sub1_high",total_high,0.08533145275035262,0.6954022988505747,2.0847367014167335,2,1
"sub3_high, total_high",peak_high,0.15726375176304655,0.6947040498442367,2.0826434306112636,2,1
"night_low, sub2_med",total_low,0.08321579689703808,0.6941176470588235,2.0808854620072132,2,1
"peak_high, sub3_high",sub2_high,0.11636107193229901,0.6932773109243698,2.0783662302130157,2,1
"night_high, total_high",peak_high,0.1078984485190409,0.6923076923076923,2.0754594242966338,2,1
"is_weekend, sub1_high",peak_high,0.11212976022566996,0.6883116883116883,2.06347986052003,2,1
"is_workday, total_high",sub3_high,0.13610719322990128,0.6868327402135231,2.0590461429656997,2,1
"is_weekend, sub2_high",sub1_high,0.09026798307475317,0.6844919786096257,2.052028806910041,2,1
"night_low, peak_low",sub1_low,0.09026798307475317,0.6844919786096257,2.0476996322119185,2,1
"is_weekend, total_high",sub2_high,0.0923836389280677,0.6822916666666665,2.045432522903453,2,1
"is_weekend, peak_high",sub2_high,0.09802538787023977,0.6813725490196079,2.0426771131285495,2,1
sub3_high,total_high,0.22637517630465445,0.678646934460888,2.034506031851034,1,1
total_high,sub3_high,0.22637517630465445,0.678646934460888,2.034506031851034,1,1
"is_weekend, sub1_high",total_high,0.10930888575458392,0.670995670995671,2.0115684174880792,2,1
"peak_med, sub3_med",total_med,0.08815232722143865,0.6684491978609627,2.008180005438231,2,1
"is_weekend, total_high",sub3_high,0.09026798307475317,0.6666666666666666,1.9985905567300917,2,1
"peak_low, sub1_low",sub3_low,0.14033850493653033,0.6655518394648829,1.9952484320532855,2,1
"night_high, total_high",sub3_high,0.10366713681241185,0.665158371040724,1.994068858637942,2,1
"night_high, sub2_high",peak_high,0.08392101551480959,0.6611111111111111,1.9819356354240076,2,1
"sub3_low, total_low",sub1_low,0.16008462623413258,0.6618075801749271,1.9798378664304783,2,1
"night_high, peak_high",sub2_high,0.08392101551480959,0.6574585635359116,1.970985714786306,2,1
"night_low, sub1_low",sub3_low,0.08392101551480959,0.6574585635359116,1.970985714786306,2,1
"peak_high, total_high",sub3_high,0.15726375176304655,0.653958944281525,1.9604942557953542,2,1
"sub2_high, total_high",sub3_high,0.1318758815232722,0.6538461538461539,1.9601561229468207,2,1
"peak_low, sub2_low",sub1_low,0.08674188998589563,0.6542553191489363,1.9572448155130628,2,1
"sub1_low, sub2_med",sub3_low,0.09097320169252468,0.6515151515151515,1.953168044077135,2,1
"sub1_low, sub2_low",peak_low,0.08674188998589563,0.6507936507936509,1.9510050672841375,2,1
"sub1_high, total_high",sub3_high,0.12200282087447109,0.650375939849624,1.9497528175618752,2,1
"peak_low, sub2_med",sub1_low,0.1156558533145275,0.6507936507936508,1.9468890228383902,2,1
peak_high,sub2_high,0.2157968970380818,0.6469344608879493,1.9394356565308923,1,1
sub2_high,peak_high,0.2157968970380818,0.6469344608879493,1.9394356565308923,1,1
sub1_low,total_low,0.2143864598025388,0.6413502109704642,1.9226947128036327,1,1
total_low,sub1_low,0.2143864598025388,0.6427061310782242,1.9226947128036327,1,1
"is_workday, peak_high",total_high,0.12129760225669958,0.6394052044609665,1.9168638053396416,2,1
"peak_high, total_high",sub1_high,0.153737658674189,0.6392961876832846,1.9165369854860412,2,1
"sub2_med, total_low",sub1_low,0.11424541607898449,0.6352941176470589,1.9005212211466869,2,1
peak_low,sub1_low,0.21086036671368125,0.6321353065539113,1.8910714445009413,1,1
sub1_low,peak_low,0.21086036671368125,0.6308016877637131,1.8910714445009413,1,1
"peak_high, sub3_high",sub1_high,0.10578279266572638,0.6302521008403362,1.8894238456481962,2,1
"peak_high, sub1_high",sub2_high,0.11988716502115655,0.625,1.873678646934461,2,1
"sub1_high, total_high",sub2_high,0.11706629055007052,0.6240601503759398,1.8708610850593712,2,1
"is_workday, peak_high",sub2_high,0.11777150916784203,0.620817843866171,1.8611410203006988,2,1
"is_workday, peak_low",sub1_low,0.1622002820874471,0.6216216216216216,1.8596191127836699,2,1
"is_weekend, night_high",sub1_high,0.08251057827926657,0.6190476190476191,1.8558340883922282,2,1
"is_workday, total_low",sub1_low,0.16572637517630465,0.6200527704485489,1.8549257985148573,2,1
"is_workday, sub3_high",total_high,0.13610719322990128,0.6185897435897436,1.8544614300428255,2,1
"is_workday, sub1_low",total_low,0.16572637517630465,0.6135770234986945,1.8394338674865724,2,1
"night_low, total_low",sub1_low,0.1001410437235543,0.6147186147186147,1.8389683452974592,2,1
"is_workday, total_high",peak_high,0.12129760225669958,0.6120996441281139,1.8350048527984473,2,1
"sub2_med, sub3_low",sub1_low,0.09097320169252468,0.6084905660377359,1.8203367566276571,2,1
sub2_high,total_high,0.2016925246826516,0.6046511627906976,1.8126751561040366,1,1
total_high,sub2_high,0.2016925246826516,0.6046511627906976,1.8126751561040366,1,1
"night_low, sub3_low",peak_low,0.0923836389280677,0.6036866359447004,1.8097836147348525,2,1
"peak_low, sub2_med",sub3_low,0.1071932299012694,0.6031746031746031,1.8082485989462733,2,1
"is_workday, sub1_low",peak_low,0.1622002820874471,0.6005221932114881,1.8002969766889858,2,1
"sub1_med, sub2_low",is_workday,0.12129760225669958,0.9608938547486034,1.3397713726976594,2,1
"sub2_low, sub3_med",is_workday,0.10437235543018336,0.925,1.2897246804326452,2,1
"sub1_low, sub3_med",is_workday,0.08251057827926657,0.921259842519685,1.2845097902585185,2,1
"peak_med, sub2_low",is_workday,0.12129760225669958,0.9148936170212767,1.2756333814514949,2,1
"peak_med, sub1_med",is_workday,0.12552891396332863,0.8811881188118812,1.2286379080385914,2,1
"sub2_low, total_med",is_workday,0.11777150916784203,0.8789473684210525,1.2255136365988717,2,1
"night_med, sub2_low",is_workday,0.10860366713681241,0.875,1.2200098328416913,2,1
"night_med, sub1_med",is_workday,0.11001410437235543,0.8715083798882681,1.2151414775629934,2,1
"night_low, sub2_low",is_workday,0.09379407616361073,0.869281045751634,1.2120359123656017,2,1
"night_med, peak_med",is_workday,0.09732016925246827,0.8679245283018867,1.2101445242203297,2,1
"night_med, sub1_low",is_workday,0.09097320169252468,0.8657718120805369,1.2071429985547701,2,1
"night_low, sub1_med",is_workday,0.08321579689703808,0.8613138686131386,1.2009273015667952,2,1
"sub1_med, sub3_med",is_workday,0.11071932299012693,0.8532608695652174,1.1896990295412766,2,1
"peak_low, sub3_med",is_workday,0.08180535966149506,0.8529411764705882,1.1892532824339175,2,1
"night_med, total_med",is_workday,0.11212976022566996,0.8502673796791445,1.1855252157178238,2,1
"night_low, total_low",is_workday,0.1382228490832158,0.8484848484848485,1.1830398379070945,2,1
"sub1_med, total_med",is_workday,0.11777150916784203,0.8477157360406091,1.1819674667704856,2,1
"night_med, sub3_med",is_workday,0.1071932299012694,0.8351648351648352,1.1644677839368105,2,1
sub1_med,is_workday,0.2764456981664316,0.832271762208068,1.1604339811317999,1,1
"night_low, sub3_med",is_workday,0.08956276445698166,0.8300653594771242,1.1573576005295596,2,1
"night_low, peak_low",is_workday,0.10930888575458392,0.8288770053475937,1.1557006819890736,2,1
"sub1_med, sub3_high",is_workday,0.09873060648801128,0.8284023668639053,1.155038894998051,2,1
sub2_low,is_workday,0.2757404795486601,0.8266384778012686,1.1525795098546696,1,1
"sub1_low, sub2_low",is_workday,0.11001410437235543,0.8253968253968255,1.1508482776919355,2,1
"peak_med, sub3_med",is_workday,0.10860366713681241,0.823529411764706,1.148244548556886,2,1
"sub3_med, total_med",is_workday,0.1375176304654443,0.8193277310924371,1.1423861580030243,2,1
"sub2_low, total_low",is_workday,0.09379407616361073,0.8159509202453988,1.1376778809321293,2,1
"peak_low, sub2_low",is_workday,0.1078984485190409,0.8138297872340426,1.1347203916399926,2,1
"night_low, peak_med",is_workday,0.08321579689703808,0.8137931034482758,1.1346692435493166,2,1
sub1_low,is_workday,0.27009873060648804,0.8080168776371309,1.1266154695078188,1,1
"sub2_low, sub3_high",is_workday,0.08956276445698166,0.8037974683544304,1.1207323600064723,2,1
total_low,is_workday,0.26727785613540195,0.8012684989429175,1.1172062256647561,1,1
"night_low, sub1_low",is_workday,0.10225669957686882,0.8011049723756906,1.1169782210705301,2,1
peak_med,is_workday,0.26657263751763044,0.8008474576271186,1.116619169041548,1,1
"peak_med, sub3_high",is_workday,0.09590973201692525,0.7953216374269005,1.1089145347800835,2,1
"night_low, sub2_med",is_workday,0.09449929478138223,0.7882352941176471,1.0990340679044481,2,1
"sub1_med, total_high",is_workday,0.08603667136812412,0.7870967741935485,1.097446633044692,2,1
"peak_low, total_low",is_workday,0.192524682651622,0.7844827586206896,1.0938019190994472,2,1
"sub2_med, total_low",is_workday,0.14104372355430184,0.7843137254901961,1.0935662367208436,2,1
sub3_med,is_workday,0.2609308885754584,0.7838983050847458,1.092987017315801,1,1
peak_low,is_workday,0.2609308885754584,0.7822410147991543,1.0906762625223214,1,1
night_low,is_workday,0.26022566995768687,0.7801268498942917,1.0877284888398286,1,1
"night_low, sub3_low",is_workday,0.11918194640338504,0.7788018433179723,1.0858810362093263,2,1
"sub3_low, total_low",is_workday,0.18829337094499296,0.7784256559766763,1.0853565193460444,2,1
"night_med, peak_low",is_workday,0.08885754583921016,0.7777777777777778,1.08445318474817,2,1
"sub1_low, total_low",is_workday,0.16572637517630465,0.7730263157894737,1.0778282357811935,2,1
night_med,is_workday,0.2566995768688293,0.7711864406779662,1.0752629035214907,1,1
"peak_low, sub1_low",is_workday,0.1622002820874471,0.7692307692307692,1.0725361167839043,2,1
"sub1_low, sub2_med",is_workday,0.1071932299012694,0.7676767676767676,1.070369377154038,2,1
"peak_med, total_med",is_workday,0.1318758815232722,0.7663934426229507,1.068580040943308,2,1
"sub2_med, sub3_med",is_workday,0.08251057827926657,0.7647058823529411,1.0662270808028225,2,1
"peak_low, sub2_med",is_workday,0.13540197461212977,0.761904761904762,1.0623214871002482,2,1
"night_high, sub1_med",is_workday,0.08321579689703808,0.7612903225806451,1.0614647762235543,2,1
total_med,is_workday,0.25176304654442877,0.7563559322033898,1.054584770761462,1,1
"sub2_low, sub3_low",is_workday,0.08180535966149506,0.7483870967741936,1.0434738478129857,2,1
"peak_low, sub3_low",is_workday,0.14104372355430184,0.7326007326007326,1.0214629683656231,2,1
"night_med, sub3_high",is_workday,0.08815232722143865,0.7267441860465116,1.0132972033568863,2,1
"sub2_med, sub3_low",is_workday,0.10860366713681241,0.7264150943396227,1.0128383517931023,2,1
"night_high, peak_med",is_workday,0.08603667136812412,0.7261904761904763,1.0125251673924243,2,1
"sub1_low, sub3_low",is_workday,0.12976022566995768,0.7244094488188976,1.0100418863571257,2,1
sub2_med,is_workday,0.2397743300423131,0.7203389830508474,1.0043664483442494,1,1
sub3_low,is_workday,0.23624823695345556,0.7082452431289641,0.9875041836350749,1,1
sub3_high,is_workday,0.22002820874471085,0.6596194503171248,0.9197053889377413,1,1
sub2_high,is_workday,0.2016925246826516,0.6046511627906976,0.8430632731929295,1,1
"sub3_high, total_high",is_workday,0.13610719322990128,0.6012461059190032,0.8383156127759552,2,1
night_high,is_workday,0.2002820874471086,0.6004228329809725,0.8371677258279441,1,1
